individual,population
EURanc_HG00368,EURanc
EURanc_HG02215,EURanc
EURanc_HG01513,EURanc
EURanc_NA11930,EURanc
EURanc_NA20529,EURanc
EURanc_NA12234,EURanc
EURanc_NA20768,EURanc
EURanc_HG00257,EURanc
EURanc_NA11894,EURanc
EURanc_NA20771,EURanc
EURanc_HG00250,EURanc
EURanc_HG00116,EURanc
EURanc_HG01608,EURanc
EURanc_HG00103,EURanc
EURanc_HG00096,EURanc
EURanc_HG01747,EURanc
EURanc_NA20541,EURanc
EURanc_NA11840,EURanc
EURanc_NA20520,EURanc
EURanc_NA20534,EURanc
EURanc_NA12155,EURanc
EURanc_NA20811,EURanc
EURanc_NA20805,EURanc
EURanc_HG01678,EURanc
EURanc_HG00154,EURanc
EURanc_HG00240,EURanc
EURanc_HG00265,EURanc
EURanc_HG00334,EURanc
EURanc_HG00330,EURanc
EURanc_NA20518,EURanc
EURanc_NA20826,EURanc
EURanc_HG00159,EURanc
EURanc_HG01700,EURanc
EURanc_HG00122,EURanc
EURanc_HG00309,EURanc
EURanc_NA12156,EURanc
EURanc_HG01507,EURanc
EURanc_NA12777,EURanc
EURanc_HG00138,EURanc
EURanc_NA11918,EURanc
EURanc_HG01676,EURanc
EURanc_NA20755,EURanc
EURanc_NA12750,EURanc
EURanc_NA11843,EURanc
EURanc_HG00258,EURanc
EURanc_HG02232,EURanc
EURanc_NA12348,EURanc
EURanc_HG00251,EURanc
EURanc_HG00129,EURanc
EURanc_HG01506,EURanc
EURanc_NA12776,EURanc
EURanc_NA20828,EURanc
EURanc_HG00150,EURanc
EURanc_HG01519,EURanc
EURanc_HG01785,EURanc
EURanc_HG00121,EURanc
EURanc_HG00384,EURanc
EURanc_NA20808,EURanc
EURanc_NA11830,EURanc
EURanc_NA20542,EURanc
EURanc_NA12763,EURanc
EURanc_HG01699,EURanc
EURanc_NA20515,EURanc
EURanc_NA12489,EURanc
EURanc_NA20513,EURanc
EURanc_NA12761,EURanc
EURanc_HG01512,EURanc
EURanc_NA12249,EURanc
EURanc_HG00113,EURanc
EURanc_NA12006,EURanc
EURanc_NA12716,EURanc
EURanc_NA20538,EURanc
EURanc_HG00254,EURanc
EURanc_NA10851,EURanc
EURanc_NA20786,EURanc
EURanc_HG00132,EURanc
EURanc_NA06984,EURanc
EURanc_NA20806,EURanc
EURanc_HG00148,EURanc
EURanc_NA20769,EURanc
EURanc_HG00146,EURanc
EURanc_NA20754,EURanc
EURanc_NA20521,EURanc
EURanc_NA20766,EURanc
EURanc_NA20528,EURanc
EURanc_HG01784,EURanc
EURanc_HG01618,EURanc
EURanc_NA20795,EURanc
EURanc_NA12843,EURanc
EURanc_NA12749,EURanc
EURanc_HG01509,EURanc
EURanc_HG00328,EURanc
EURanc_NA10847,EURanc
EURanc_HG01707,EURanc
EURanc_HG00288,EURanc
EURanc_NA11881,EURanc
EURanc_HG00110,EURanc
EURanc_NA12828,EURanc
EURanc_HG01776,EURanc
EURanc_NA12813,EURanc
EURanc_NA20760,EURanc
EURanc_NA20783,EURanc
EURanc_NA12827,EURanc
EURanc_NA12717,EURanc
EURanc_NA12760,EURanc
EURanc_NA12044,EURanc
EURanc_HG01762,EURanc
EURanc_HG00244,EURanc
EURanc_NA20800,EURanc
EURanc_NA12005,EURanc
EURanc_HG01510,EURanc
EURanc_HG01697,EURanc
EURanc_NA20510,EURanc
EURanc_NA20812,EURanc
EURanc_HG02221,EURanc
EURanc_NA06994,EURanc
EURanc_HG00252,EURanc
EURanc_NA20810,EURanc
EURanc_HG00236,EURanc
EURanc_HG01773,EURanc
EURanc_HG00277,EURanc
EURanc_HG01521,EURanc
EURanc_NA20756,EURanc
EURanc_HG01536,EURanc
EURanc_NA20814,EURanc
EURanc_NA12414,EURanc
EURanc_NA12751,EURanc
EURanc_HG00139,EURanc
EURanc_NA20759,EURanc
EURanc_HG00115,EURanc
EURanc_HG00256,EURanc
EURanc_HG01623,EURanc
EURanc_HG00350,EURanc
EURanc_HG00109,EURanc
EURanc_NA12341,EURanc
EURanc_NA12889,EURanc
EURanc_NA20818,EURanc
EURanc_NA20504,EURanc
EURanc_HG00102,EURanc
EURanc_HG01779,EURanc
EURanc_HG00189,EURanc
EURanc_HG00239,EURanc
EURanc_HG00120,EURanc
EURanc_HG00253,EURanc
EURanc_HG01777,EURanc
EURanc_HG00100,EURanc
EURanc_HG00246,EURanc
EURanc_HG00105,EURanc
EURanc_NA07051,EURanc
EURanc_HG00174,EURanc
EURanc_HG00125,EURanc
EURanc_HG00343,EURanc
EURanc_NA20809,EURanc
EURanc_HG00137,EURanc
EURanc_HG00099,EURanc
EURanc_NA12272,EURanc
EURanc_HG02233,EURanc
EURanc_NA20803,EURanc
EURanc_HG00180,EURanc
EURanc_HG00243,EURanc
EURanc_NA12546,EURanc
EURanc_HG01682,EURanc
EURanc_NA11832,EURanc
EURanc_NA20821,EURanc
EURanc_HG00261,EURanc
EURanc_NA20819,EURanc
EURanc_NA20787,EURanc
EURanc_NA07000,EURanc
EURanc_NA11920,EURanc
EURanc_HG01537,EURanc
EURanc_NA20517,EURanc
EURanc_NA12872,EURanc
EURanc_HG02238,EURanc
EURanc_HG00232,EURanc
EURanc_NA20815,EURanc
EURanc_HG00235,EURanc
EURanc_NA12748,EURanc
EURanc_HG01761,EURanc
EURanc_NA12399,EURanc
EURanc_HG00336,EURanc
EURanc_NA20773,EURanc
EURanc_HG01334,EURanc
EURanc_HG02230,EURanc
EURanc_NA12830,EURanc
EURanc_HG01675,EURanc
EURanc_HG00155,EURanc
EURanc_HG01791,EURanc
EURanc_HG00160,EURanc
EURanc_HG01775,EURanc
EURanc_HG00268,EURanc
EURanc_HG01612,EURanc
EURanc_HG00263,EURanc
EURanc_NA20589,EURanc
EURanc_NA12046,EURanc
EURanc_NA11932,EURanc
EURanc_HG00308,EURanc
EURanc_NA12342,EURanc
EURanc_HG00260,EURanc
EURanc_HG00119,EURanc
EURanc_NA11995,EURanc
EURanc_NA12058,EURanc
EURanc_NA07347,EURanc
EURanc_HG01684,EURanc
EURanc_NA20505,EURanc
EURanc_NA11831,EURanc
EURanc_NA12814,EURanc
EURanc_NA20587,EURanc
EURanc_HG00335,EURanc
